iter	TotalF1	MultiClass
781	0.9997288014	0.05920487609
782	0.9996836047	0.05903386346
783	0.9996836047	0.05897657543
784	0.9996836047	0.058852449
785	0.9996836047	0.05870877476
786	0.9996836047	0.05864960048
787	0.9997288014	0.05855647675
788	0.9997288014	0.05849067023
789	0.9996836047	0.05840099769
790	0.9997287997	0.05827811242
791	0.9997739964	0.05815457232
792	0.9997739964	0.05810262219
793	0.9997739964	0.05799115557
794	0.9997287997	0.05782496615
795	0.9997287997	0.05771526888
796	0.9997287997	0.05760613605
797	0.9997287997	0.05746045582
798	0.9997287997	0.05739432531
799	0.9997287997	0.05723945843
800	0.9997287997	0.05709464666
801	0.9997287997	0.05694406508
802	0.9997287997	0.05685955521
803	0.9997287997	0.05681356748
804	0.9997287997	0.05674628591
805	0.9997287997	0.0566586428
806	0.9997287997	0.0565559682
807	0.9997287997	0.05645866138
808	0.9997287997	0.05636920589
809	0.9997287997	0.05629770599
810	0.9997287997	0.05619398254
811	0.9997287997	0.0560547939
812	0.9997287997	0.05595675488
813	0.9997287997	0.05584584118
814	0.9997287997	0.05574960651
815	0.9997287997	0.05571618313
816	0.9997287997	0.05564556918
817	0.9997739964	0.05559143422
818	0.9997287997	0.05546117203
819	0.9997287997	0.0553743857
820	0.9997287997	0.05531511632
821	0.9997287997	0.05522733922
822	0.9997287997	0.05512369469
823	0.9997739964	0.05507545075
824	0.9997739964	0.05500281471
825	0.9997739964	0.0548355156
826	0.9997287997	0.05469849793
827	0.9997287997	0.05461017781
828	0.9997739964	0.05442000943
829	0.9997287997	0.05433890521
830	0.9997739964	0.05425253591
831	0.9997287997	0.05411958053
832	0.9997739964	0.05403903613
833	0.9997739964	0.05397243222
834	0.9997739964	0.05383936871
835	0.9997739964	0.05373432346
836	0.9997739964	0.05362888771
837	0.9997739964	0.05354109815
838	0.9997739964	0.05347333829
839	0.9998192009	0.05335208041
840	0.9998192009	0.05325869934
841	0.9998192009	0.05318286162
842	0.9998192009	0.05310795201
843	0.9998192009	0.05301856107
844	0.9998192009	0.05294718197
845	0.9998192009	0.05285708119
846	0.9998192009	0.05268913319
847	0.9998192009	0.0525944365
848	0.9998192009	0.0525136872
