iter	Passed	Remaining
910	40531	3959
911	40567	3914
912	40606	3869
913	40643	3824
914	40681	3779
915	40723	3734
916	40762	3689
917	40802	3644
918	40839	3599
919	40887	3555
920	40931	3510
921	40987	3467
922	41028	3422
923	41069	3377
924	41112	3333
925	41150	3288
926	41189	3243
927	41228	3198
928	41267	3153
