iter	Passed	Remaining
587	31309	21937
588	31352	21877
589	31395	21817
590	31439	21757
591	31481	21696
592	31523	21635
593	31574	21580
594	31618	21522
595	31668	21466
596	31716	21409
597	31764	21353
598	31815	21298
599	31864	21242
600	31918	21190
601	31980	21143
602	32035	21091
603	32088	21038
604	32186	21014
605	32236	20958
606	32285	20903
607	32335	20848
608	32386	20793
609	32437	20738
610	32487	20683
611	32534	20626
612	32579	20567
613	32632	20515
614	32687	20462
615	32735	20406
616	32786	20352
617	32843	20301
618	32902	20251
619	32956	20199
620	33006	20144
621	33062	20092
622	33116	20040
623	33172	19988
624	33267	19960
625	33339	19918
626	33398	19868
627	33485	19835
628	33562	19796
629	33643	19759
630	33696	19705
631	33765	19660
632	33821	19609
633	33912	19576
634	33969	19525
635	34018	19469
636	34064	19411
637	34110	19354
638	34163	19300
639	34221	19249
640	34276	19196
641	34334	19146
642	34428	19115
643	34485	19063
644	34536	19008
645	34588	18953
646	34640	18899
647	34691	18844
648	34745	18791
649	34797	18737
650	34845	18680
651	34890	18622
652	34938	18566
653	34986	18509
654	35044	18458
655	35104	18408
656	35168	18360
657	35219	18305
658	35276	18253
659	35327	18199
660	35384	18147
661	35446	18098
662	35543	18066
663	35606	18017
664	35662	17965
665	35722	17914
666	35777	17862
667	35831	17808
668	35886	17755
669	35945	17704
670	35998	17650
671	36048	17595
672	36103	17542
673	36162	17490
674	36227	17442
675	36365	17429
676	36463	17397
677	36565	17366
678	36640	17321
679	36757	17297
680	36821	17248
681	36875	17194
682	36935	17143
683	36988	17088
684	37056	17040
685	37120	16990
686	37180	16939
687	37245	16890
688	37303	16837
689	37360	16784
690	37413	16730
691	37466	16676
692	37520	16621
693	37577	16568
694	37626	16512
695	37672	16454
696	37731	16402
697	37822	16364
698	37875	16309
699	37922	16252
700	37973	16196
701	38022	16140
702	38071	16084
703	38120	16027
704	38176	15974
705	38224	15917
706	38272	15861
707	38326	15806
708	38378	15752
709	38427	15695
710	38476	15639
711	38526	15583
712	38574	15527
713	38625	15471
714	38674	15415
715	38725	15360
716	38774	15304
717	38831	15251
718	38932	15215
719	38979	15158
720	39024	15100
721	39069	15043
722	39120	14988
723	39171	14932
724	39218	14876
725	39271	14821
726	39320	14765
727	39370	14709
728	39418	14653
729	39473	14599
730	39522	14543
731	39570	14487
732	39618	14431
733	39662	14373
734	39711	14317
735	39758	14261
736	39802	14203
737	39851	14147
738	39896	14090
739	39941	14033
740	40028	13991
741	40085	13938
742	40150	13887
